"language";"replies_count";"likes_count";"retweet";"tweet";"id";"conversation_id";"created_at";"date";"time";"user_id";"username";"name";"mentions";"urls";"photos";"retweets_count";"hashtags";"cashtags";"link";"quote_url";"video";"thumbnail";"near";"geo";"source";"user_rt_id";"user_rt";"retweet_id";"reply_to";"retweet_date";"translate";"trans_src";"trans_dest"
"in";0;2;"False";"Satgas Covid-19: Kasus Aktif Covid-19 Mulai Alami Kenaikan ";"1466397102678810625";1.46639710267881062E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"20:21:28";"47274731";"okezonenews";"Okezone";;;;;;;;;;;;;;;;;;;;;
"in";0;0;"False";"Hari tu akak. Hari ni dapat berita mak ngan abah pulak kene covid. Allahu.. x tenangnya";"1466395051789979651";1.46639505178997965E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"20:13:19";"440037967";"shafiqsyafa";"Shafiq Lee";"[]";"[]";"[]";0;"[]";"[]";"https://twitter.com/ShafiqSyafa/status/1466395051789979651";;0;;;;;;;;"[]";;;;
"in";0;2;"False";"Cegah Penyebaran Covid-19 Varian Omicron, Pejabat Negara Dilarang Keluar Negeri    https://t.co/UQXdQEEt0e   ";"1466393136188432390";1.46639313618843238E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"20:05:42";"1456118198273667074";"opsiberita";"Opsi Media";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Lebih 20 Juta Vaksin Covid-19 Tiba di Tanah Air dalam 4 Hari Terakhir ";"1466390454669230090";1.46639045466923008E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"19:55:03";"47274731";"okezonenews";"Okezone";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"BERITA SAHAM KAMIS 02/12/2021 â€“ ";"1466389429635805184";1.46638942963580518E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"19:50:58";"1500436766";"forexharian";"Analisa Forex Harian";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"RSDC Wisma Atlet Rawat 143 Pasien Covid-19    ";"1466376609313681416";1.46637660931368141E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"19:00:02";"47274731";"okezonenews";"Okezone";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"POLRES Bogor Gelar Gerai Vaksinasi Covid-19 bagi Masyarakat Kabupaten Bogor  Lihat Beritanya ðŸ‘‡ðŸ‘‡ðŸ‘‡Dibawah Ini  https://t.co/HazFaIPgHL  ";"1466370153411534852";1.46637015341153485E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"18:34:23";"1407955419318820870";"beritai43921157";"MEDIA SAKTI INDONESIA";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Berita terbaru: Data Warga â€˜Door to Doorâ€™, Polsek Gemeh   https://t.co/QTe0iF6SS4 ";"1466362250269052936";1.46636225026905293E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"18:02:58";"130420120";"beritamanado";"BeritaManado";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Syarat perjalanan di masa pandemi Covid-19 kerap berubah.   Mengapa? Apa yang kita perlu cermati dari aturan perjalanan yang berubah-ubah ini?   Kami bahas di ";"1466360735831769094";1.46636073583176909E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"17:56:57";"124390203";"beritakbr";"KBR";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Pemerintah Provinsi Papua akan mengikuti instruksi Menteri Dalam Negeri Nomor 26 tahun 2021 tentang pencegahan dan penanggulangan COVID-19 salah satunya termasuk PPKM pada saat Natal dan tahun baru.  Baca selengkapnya  https://t.co/ZRA7vbFb5t  ";"1466302281536589827";1.46630228153658982E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"14:04:41";"1293024728303558657";"berita_papuaid";"Berita Papua";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Polres Tabanan Gencar Sisir Warga yang Belum Vaksinasi Covid-19  https://t.co/VJFxUxNpAh ";"1466296388837199873";1.46629638883719987E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:41:16";"2655442453";"nusabalicom";"NusaBali.com";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Sehingga 2 Disember 2021, jumlah kes Covid-19 direkodkan sebanyak 5,806 kes.  Klik  https://t.co/tYk4QifyN6 di Bio atau  https://t.co/bxdnokHf6Q untuk baca berita menarik lain  ";"1466290808634576896";1.4662908086345769E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:19:05";"331383958";"sinaronline";"SinarOnline";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Polsek Jetis Pantau Gelaran Surveilans PTM di SMP Negeri  12 dan 14 Yogyakarta.  Berita lengkap klik di  &gt;&gt;&gt;&gt;&gt;&gt;  https://t.co/jttMgzH3C6  @polresjogja ";"1466289071093735429";1.46628907109373542E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:12:11";"1223871925685899266";"polsek_jtjogja";"POLSEK_JETISJOGJA";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Pasalnya, hal tersebut dapat dipercaya dapat menjadi salah satu trobosan di dunia kesehatan, khususnya dalam membantu penanganan Covid-19.  Simak selengkapnya melalui berita disini  https://t.co/t1aFvHHD7D  ";"1466286612124299266";1.46628658945827635E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:02:25";"86193226";"umyogya";"UMY";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Sebanyak 808 kematian akibat Covid-19 telah direkodkan di Kelantan dalam tempoh bermula bulan Mac tahun lepas sehingga September lalu. ";"1466286048044978177";1.46628604804497818E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:00:10";"501421171";"kwiknewsmy";"KwikNews";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Awali hari dengan ";"1466286007297331201";1.4662860072973312E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"13:00:01";"82846394";"hardrockfmbdg";"87.7 HardRock FM Bdg";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Berita 757 | Kerajaan tidak bercadang wajibkan dos penggalak buat masa ini  Buat masa ini, kerajaan tidak bercadang menjadikan pengambilan dos penggalak sebagai syarat wajib untuk melengkapkan dos vaksin Covid-19 bagi rakyat negara ini.  ";"1466283900301312003";1.466283900301312E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:51:38";"1391687477413302278";"berita757";"Berita 757";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Penggunaan katil di unit rawatan rapi (";"1466280969606877188";1.46628096960687718E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:39:59";"1187303986388299777";"kelategomo_";"Gomo Kelate Gomo";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Kuarantin di institusi kuarantin tidak lagi dikenakan terhadap jemaah umrah asing yang menerima dua dos vaksin COVID-19 diluluskan Arab Saudi selepas Kementerian Haji dan Umrah negara itu mengumumkan arahan tersebut bersama beberapa lagi kelonggaran lain.  ðŸ“¸ AFP  ";"1466278639142457348";1.46627863914245734E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:30:44";"1227442817661886465";"rakitanews1079";"Berita Rakita";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Untuk 3 hari berturut-turut, kadar kebolehjangkitan COVID-19 di Malaysia mencatatkan trend mendatar menyaksikan angka itu kekal pada paras 0.95 sejak Isnin berdasarkan data yg dikongsikan KP Kesihatan, Tan Sri Dr @DGHisham dlm laman Twitternya.  ðŸ“¸ @DGHisham   ";"1466277729427361794";1.46627772942736179E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:27:07";"1227442817661886465";"rakitanews1079";"Berita Rakita";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Kerajaan tidak bercadang menjadikan pengambilan dos penggalak sebagai syarat wajib untuk melengkapkan dos vaksin Covid-19 bagi rakyat negara ini. ";"1466277105520431113";1.4662771055204311E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:24:38";"1184396696211427328";"klsayang";"KL Sayang Semua";;;;;;;;;;;;;;;;;;;;;
"in";0;0;"False";"Banyak students asrama +ve covid. Yg masuk berita dah 2 sekolah, yang tak masuk berita pun ada lagi tu.";"1466274057117069321";1.46627405711706931E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:12:31";"104686190";"yayannnnnnnn";"Ø¹ÙŠÙ†Ø§";"[]";"[]";"[]";0;"[]";"[]";"https://twitter.com/Yayannnnnnnn/status/1466274057117069321";;0;;;;;;;;"[]";;;;
"in";0;2;"False";"Prokes Ketat Kunci Kasus Covid-19 Tetap Stabil di Bali  https://t.co/cn9UEcCtBx ";"1466271267690979330";1.46627126769097933E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"12:01:26";"2655442453";"nusabalicom";"NusaBali.com";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"Seramai 71 pelajar dan dua orang guru di Sekolah Seri Puteri (SSP) di Cyberjaya dikesan positif Covid-19.  Klik  https://t.co/Z7DjKP0wu1 untuk berita penuh.  ";"1466270813024243712";1.46627081302424371E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"11:59:38";"331383958";"sinaronline";"SinarOnline";;;;;;;;;;;;;;;;;;;;;
"in";0;2;"False";"'''Selama pandemi, prokes kita ketat. Kita tidak menerima tamu, tidak keluar, kita seakan isolasi mandiri. Sampai kita bingung, ada 1 ADHA yang kena COVID-19.  ";"1466270069080555522";1.46627006908055552E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"11:56:41";"124390203";"beritakbr";"KBR";;;;;;;;;;;;;;;;;;;;;
"in";1;1;"False";"Kalau aku tak tweet macam tu, management nak dengar ke aduan students ni? bak kata jaja,  Cuba selesaikan masalah covid â?Œ Cari sampai dapat siapa yang sebar berita âœ…";"1466268088723132426";1.46626756769409024E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"11:48:48";"922282000500768768";"notumairah";"Not";"[]";"[]";"[]";0;"[]";"[]";"https://twitter.com/NotUmairah/status/1466268088723132426";;0;;;;;;;;"[]";;;;
"in";0;17;"False";"Nunggu BERITA SETINGAN dan STATEMENT dari SALES COVID   Angka COVID Dijakarta Naik pasca dilakukan nya Aksi Reuni 212 dipatung kuda ðŸ˜‚  Hayoloh udah gua tebak duluan ðŸ˜‚";"1466267585930936323";1.46626758593093632E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"11:46:49";"1133311906976952320";"catatan_ali7";"CatatanAli7â„¢ï¸?";"[]";"[]";"[]";4;"[]";"[]";"https://twitter.com/Catatan_ali7/status/1466267585930936323";;0;;;;;;;;"[]";;;;
"in";0;2;"False";"Pemangkasan anggaran di kementerian lembaga untuk meningkatkan anggaran penanganan pandemi COVID-19 yang terus membengkak. Kebutuhan biaya rawat pasien ";"1466231840654585857";1.46623184065458586E18;2021-12-02 00:00:00;2021-12-02 00:00:00;"09:24:46";"124390203";"beritakbr";"KBR";;;;;;;;;;;;;;;;;;;;;
